ParticipantId	SampleCode	contdag	gesl2	LFTB	pershuis	Lftpershuis1	Lftpershuis2	Lftpershuis3	Lftpershuis4	Lftpershuis5	Lftpershuis6	Lftpershuis7	Lftpershuis8	Lftpershuis9	Lftpershuis10	contpers0tot9	contpers10tot19	contpers20tot29	contpers30tot39	contpers40tot49	contpers50tot59	contpers60tot69	contpers70tot79	contpers80tot89	contpers90plus	contpers0tot4	contpers5tot9	pershuisv2
6981	13602320	2	2	12	4	10	12	34	53							7	2	1	1								7	4
6982	13602298	4	1	12	4	12	16	42	42								10											4
6983	13602322	4	1	12	4	8	39	40								5	40		1	10		2					2	4
6984		1	1	13	5	13	18	20	41	46							10			4								5
6986	13602297	2	2	14	3	39	40									1	4		2			1						3
6988	13602300	3	2	14	8	9	11	13	14	16	18	38	41				15	3	2	2	1		2	1				8
6989		2	1	15	10	3	4	5	7	10	11	14	15	36	43		3	2	4			2						10
6993	13602314	4	2	17	4	13	43	49								2	3	1	2	3	4		2			1	1	4
6995	13602303	5	1	18	3	18	21	60								2	6		1		2	1				1	1	3
7004			1	21	10	7	11	12	14	16	18	20	21	42	44													10
7007	13602317	3	2	21	2	23												5	5	4	2							2
7010	13602328	1	2	22	1	22										1		1			1		2	2		1		1
